Date,Price,Open,High,Low,Vol.,Change %
29-Aug-12,5743.53,5775.71,5775.76,5739.23,523.48M,-0.56%
28-Aug-12,5775.71,5776.60,5779.49,5749.75,524.54M,-0.02%
24-Aug-12,5776.60,5776.60,5791.39,5739.41,487.76M,0.00%
23-Aug-12,5776.60,5774.20,5809.26,5764.02,636.11M,0.04%
22-Aug-12,5774.20,5857.52,5857.52,5771.22,535.19M,-1.42%
21-Aug-12,5857.52,5824.37,5872.59,5824.37,501.84M,0.57%
20-Aug-12,5824.37,5852.42,5857.50,5802.91,692.84M,-0.48%
17-Aug-12,5852.42,5834.51,5854.72,5834.39,731.77M,0.31%
16-Aug-12,5834.51,5833.04,5846.70,5811.31,587.03M,0.03%
15-Aug-12,5833.04,5864.78,5864.78,5822.25,560.38M,-0.54%
14-Aug-12,5864.78,5831.88,5876.22,5831.88,627.90M,0.56%
13-Aug-12,5831.88,5847.11,5852.79,5813.63,410.23M,-0.26%
10-Aug-12,5847.11,5851.51,5858.56,5827.71,466.84M,-0.08%
9-Aug-12,5851.51,5845.92,5860.16,5828.44,741.08M,0.10%
8-Aug-12,5845.92,5841.24,5845.92,5801.08,588.92M,0.08%
7-Aug-12,5841.24,5808.77,5841.24,5785.01,779.69M,0.56%
6-Aug-12,5808.77,5787.28,5837.61,5767.10,613.10M,0.37%
3-Aug-12,5787.28,5662.30,5794.01,5662.30,748.57M,2.21%
2-Aug-12,5662.30,5712.82,5765.81,5657.25,805.20M,-0.88%
1-Aug-12,5712.82,5635.28,5712.82,5632.97,554.18M,1.38%
31-Jul-12,5635.28,5693.63,5695.54,5635.28,645.79M,-1.02%
30-Jul-12,5693.63,5627.21,5706.47,5625.67,648.63M,1.18%
27-Jul-12,5627.21,5573.16,5631.00,5550.90,732.79M,0.97%
26-Jul-12,5573.16,5498.32,5594.51,5478.04,817.69M,1.36%
25-Jul-12,5498.32,5499.23,5526.09,5478.02,621.39M,-0.02%
24-Jul-12,5499.23,5533.87,5556.63,5486.99,551.20M,-0.63%
23-Jul-12,5533.87,5651.77,5651.77,5510.92,691.61M,-2.09%
20-Jul-12,5651.77,5714.19,5714.19,5644.93,961.83M,-1.09%
19-Jul-12,5714.19,5685.77,5718.61,5685.77,711.48M,0.50%
18-Jul-12,5685.77,5629.09,5688.29,5624.54,669.96M,1.01%
17-Jul-12,5629.09,5662.43,5676.47,5621.19,602.76M,-0.59%
16-Jul-12,5662.43,5666.13,5670.60,5640.88,569.29M,-0.07%
13-Jul-12,5666.13,5608.25,5675.62,5608.25,609.27M,1.03%
12-Jul-12,5608.25,5664.48,5664.48,5588.84,667.05M,-0.99%
11-Jul-12,5664.48,5664.07,5674.65,5625.60,606.67M,0.01%
10-Jul-12,5664.07,5627.33,5688.66,5622.29,607.97M,0.65%
9-Jul-12,5627.33,5662.63,5669.75,5610.71,682.35M,-0.62%
6-Jul-12,5662.63,5692.63,5695.06,5647.47,602.83M,-0.53%
5-Jul-12,5692.63,5684.47,5727.45,5662.48,766.72M,0.14%
4-Jul-12,5684.47,5687.73,5699.85,5669.73,445.46M,-0.06%
3-Jul-12,5687.73,5640.64,5689.00,5636.05,795.29M,0.83%
2-Jul-12,5640.64,5571.15,5640.64,5571.15,696.94M,1.25%
29-Jun-12,5571.15,5493.06,5619.65,5493.06,1.06B,1.42%
28-Jun-12,5493.06,5523.92,5533.75,5436.50,1.03B,-0.56%
27-Jun-12,5523.92,5446.96,5525.14,5446.96,678.49M,1.41%
26-Jun-12,5446.96,5450.65,5476.50,5436.27,631.70M,-0.07%
25-Jun-12,5450.65,5513.69,5513.69,5435.46,716.16M,-1.14%
22-Jun-12,5513.69,5566.36,5566.36,5499.97,677.91M,-0.95%
21-Jun-12,5566.36,5622.29,5622.29,5564.79,785.24M,-0.99%
20-Jun-12,5622.29,5586.31,5623.85,5566.00,903.45M,0.64%
19-Jun-12,5586.31,5491.09,5603.14,5491.03,816.80M,1.73%
18-Jun-12,5491.09,5478.81,5555.32,5461.08,879.53M,0.22%
15-Jun-12,5478.81,5467.05,5522.87,5465.09,2.31B,0.22%
14-Jun-12,5467.05,5483.81,5483.81,5424.40,985.63M,-0.31%
13-Jun-12,5483.81,5473.74,5507.65,5436.67,831.01M,0.18%
12-Jun-12,5473.74,5432.37,5478.63,5414.64,890.75M,0.76%
11-Jun-12,5432.37,5435.08,5536.27,5419.56,950.51M,-0.05%
8-Jun-12,5435.08,5447.79,5447.79,5381.83,916.40M,-0.23%
7-Jun-12,5447.79,5384.11,5494.54,5384.11,1.03B,1.18%
6-Jun-12,5384.11,5260.19,5388.03,5260.19,1.10B,2.36%
1-Jun-12,5260.19,5320.86,5354.45,5229.76,1.06B,-1.14%
31-May-12,5320.86,5297.28,5352.05,5272.66,1.40B,0.45%
30-May-12,5297.28,5391.14,5391.14,5284.42,863.48M,-1.74%
29-May-12,5391.14,5356.34,5404.66,5342.46,729.59M,0.65%
28-May-12,5356.34,5351.53,5413.83,5341.34,510.69M,0.09%
25-May-12,5351.53,5350.05,5385.17,5312.20,734.36M,0.03%
24-May-12,5350.05,5266.41,5371.75,5266.41,737.28M,1.59%
23-May-12,5266.41,5403.28,5403.67,5262.90,997.83M,-2.53%
22-May-12,5403.28,5304.48,5408.65,5304.48,931.86M,1.86%
21-May-12,5304.48,5267.62,5324.36,5253.92,914.31M,0.70%
